2026-04-06 18:12:25,556 | AIM_ENV_AGENT | INFO | Initializing Heuristic Agent.
2026-04-06 18:12:25,556 | AIM_ENV_AGENT | WARNING | No OpenAI API key provided, LLM agent will fallback to heuristic
2026-04-06 18:12:25,556 | AIM_ENV_AGENT | INFO | Using heuristic fallback for LLM agent
2026-04-06 18:12:47,465 | AIM_ENV_AGENT | INFO | Initializing Heuristic Agent.
2026-04-06 18:12:47,465 | AIM_ENV_AGENT | WARNING | No OpenAI API key provided, LLM agent will fallback to heuristic
2026-04-06 18:12:47,465 | AIM_ENV_AGENT | INFO | Using heuristic fallback for LLM agent
2026-04-06 18:13:30,460 | AIM_ENV_AGENT | INFO | Initializing Heuristic Agent.
2026-04-06 18:13:30,460 | AIM_ENV_AGENT | WARNING | No OpenAI API key provided, LLM agent will fallback to heuristic
2026-04-06 18:13:30,460 | AIM_ENV_AGENT | INFO | Using heuristic fallback for LLM agent
2026-04-06 18:13:48,055 | AIM_ENV_AGENT | INFO | Initializing Heuristic Agent.
2026-04-06 18:13:48,056 | AIM_ENV_AGENT | WARNING | No OpenAI API key provided, LLM agent will fallback to heuristic
2026-04-06 18:13:48,056 | AIM_ENV_AGENT | INFO | Using heuristic fallback for LLM agent
2026-04-06 18:13:48,066 | AIM_ENV_AGENT | INFO | Initializing Heuristic Agent.
